area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,taxable_annual_wages,annual_contributions,annual_avg_wkly_wage,avg_annual_pay,lq_disclosure_code,lq_annual_avg_estabs,lq_annual_avg_emplvl,lq_total_annual_wages,lq_taxable_annual_wages,lq_annual_contributions,lq_annual_avg_wkly_wage,lq_avg_annual_pay,oty_disclosure_code,oty_annual_avg_estabs_chg,oty_annual_avg_estabs_pct_chg,oty_annual_avg_emplvl_chg,oty_annual_avg_emplvl_pct_chg,oty_total_annual_wages_chg,oty_total_annual_wages_pct_chg,oty_taxable_annual_wages_chg,oty_taxable_annual_wages_pct_chg,oty_annual_contributions_chg,oty_annual_contributions_pct_chg,oty_annual_avg_wkly_wage_chg,oty_annual_avg_wkly_wage_pct_chg,oty_avg_annual_pay_chg,oty_avg_annual_pay_pct_chg
6037,0,10,70,0,2013,A,,423084,4073405,2.23874E+11,29016447224,1465106567,1057,54960,,1,1,1,1,1,1,1,,5200,1.2,96108,2.4,3108764533,1.4,689302082,2.4,-6668882,-0.5,-10,-0.9,-546,-1
6037,1,10,71,0,2013,A,,445,47183,3574699957,0,0,1457,75763,,0.16,0.56,0.53,0,0,0.94,0.94,,1,0.2,-901,-1.9,-50325855,-1.4,0,0,0,0,7,0.5,374,0.5
6037,1,102,72,0,2013,A,,445,47183,3574699957,0,0,1457,75763,,0.16,0.57,0.54,0,0,0.94,0.94,,1,0.2,-901,-1.9,-50325855,-1.4,0,0,0,0,7,0.5,374,0.5
6037,1,1021,73,0,2013,A,,209,17843,1089829979,0,0,1175,61078,,0.15,0.87,0.84,0,0,0.96,0.96,,-5,-2.3,-368,-2,-21892194,-2,0,0,0,0,1,0.1,31,0.1
6037,1,1023,73,0,2013,A,,3,123,13085262,0,0,2053,106746,,0.08,0.29,0.26,0,0,0.93,0.93,,0,0,0,0,-199541,-1.5,0,0,0,0,-30,-1.4,-1554,-1.4
6037,1,1024,73,0,2013,A,,7,623,55359983,0,0,1710,88932,,0.1,0.3,0.3,0,0,0.99,0.99,,-1,-12.5,-13,-2,-746421,-1.3,0,0,0,0,14,0.8,737,0.8
6037,1,1025,73,0,2013,A,,7,7256,589249473,0,0,1562,81211,,0.12,0.64,0.67,0,0,1.04,1.04,,0,0,34,0.5,12490233,2.2,0,0,0,0,26,1.7,1348,1.7
6037,1,1026,73,0,2013,A,,4,20,537698,0,0,509,26444,,0.06,0.01,0.01,0,0,0.59,0.59,,0,0,2,11.1,-6079,-1.1,0,0,0,0,-83,-14,-4336,-14.1
6037,1,1027,73,0,2013,A,,1,7,366866,0,0,1032,53688,,0.11,0.05,0.05,0,0,0.98,0.98,,0,0,0,0,-47021,-11.4,0,0,0,0,-79,-7.1,-4064,-7
6037,1,1028,73,0,2013,A,,214,21312,1826270696,0,0,1648,85694,,0.18,0.46,0.44,0,0,0.96,0.96,,7,3.4,-555,-2.5,-39903576,-2.1,0,0,0,0,7,0.4,353,0.4
6037,1,44-45,74,0,2013,A,,3,156,3951787,0,0,487,25332,,0.09,0.1,0.08,0,0,0.79,0.79,,0,0,-8,-4.9,-225821,-5.4,0,0,0,0,-3,-0.6,-167,-0.7
6037,1,445,75,0,2013,A,,1,52,1965094,0,0,724,37670,,0.11,0.14,0.14,0,0,0.95,0.95,,0,0,-6,-10.3,-226961,-10.4,0,0,0,0,-2,-0.3,-70,-0.2
6037,1,4451,76,0,2013,A,,1,52,1965094,0,0,724,37670,,0.11,0.14,0.14,0,0,0.95,0.95,,0,0,-6,-10.3,-226961,-10.4,0,0,0,0,-2,-0.3,-70,-0.2
6037,1,44511,77,0,2013,A,,1,52,1965094,0,0,724,37670,,0.13,0.15,0.14,0,0,0.94,0.94,,0,0,-6,-10.3,-226961,-10.4,0,0,0,0,-2,-0.3,-70,-0.2
6037,1,445110,78,0,2013,A,,1,52,1965094,0,0,724,37670,,0.13,0.15,0.14,0,0,0.94,0.94,,0,0,-6,-10.3,-226961,-10.4,0,0,0,0,-2,-0.3,-70,-0.2
6037,1,452,75,0,2013,A,,2,104,1986693,0,0,368,19133,,0.14,0.09,0.06,0,0,0.65,0.65,,0,0,-2,-1.9,1140,0.1,0,0,0,0,7,1.9,357,1.9
6037,1,4521,76,0,2013,A,,1,5,67356,0,0,283,14696,,0.1,0.01,0,0,0,0.5,0.5,,0,0,1,25,1219,1.8,0,0,0,0,-35,-11,-1838,-11.1
6037,1,45211,77,0,2013,A,,1,5,67356,0,0,283,14696,,0.1,0.01,0,0,0,0.5,0.5,,0,0,1,25,1219,1.8,0,0,0,0,-35,-11,-1838,-11.1
6037,1,452112,78,0,2013,A,,1,5,67356,0,0,283,14696,,0.19,0.04,0.02,0,0,0.54,0.54,,0,0,1,25,1219,1.8,0,0,0,0,-35,-11,-1838,-11.1
6037,1,4529,76,0,2013,A,,1,99,1919337,0,0,372,19338,,0.25,0.27,0.18,0,0,0.65,0.65,,0,0,-3,-2.9,-79,0,0,0,0,0,9,2.5,474,2.5
6037,1,45291,77,0,2013,A,,1,99,1919337,0,0,372,19338,,0.49,0.43,0.25,0,0,0.59,0.59,,0,0,-3,-2.9,-79,0,0,0,0,0,9,2.5,474,2.5
6037,1,452910,78,0,2013,A,,1,99,1919337,0,0,372,19338,,0.49,0.43,0.25,0,0,0.59,0.59,,0,0,-3,-2.9,-79,0,0,0,0,0,9,2.5,474,2.5
6037,1,48-49,74,0,2013,A,,206,17687,1085878192,0,0,1181,61394,,0.15,0.96,0.9,0,0,0.94,0.94,,-5,-2.4,-360,-2,-21666373,-2,0,0,0,0,1,0.1,24,0
6037,1,491,75,0,2013,A,,206,17687,1085878192,0,0,1181,61394,,0.15,0.98,0.94,0,0,0.96,0.96,,-5,-2.4,-360,-2,-21666373,-2,0,0,0,0,1,0.1,24,0
6037,1,4911,76,0,2013,A,,206,17687,1085878192,0,0,1181,61394,,0.15,0.98,0.94,0,0,0.96,0.96,,-5,-2.4,-360,-2,-21666373,-2,0,0,0,0,1,0.1,24,0
6037,1,49111,77,0,2013,A,,206,17687,1085878192,0,0,1181,61394,,0.15,0.98,0.94,0,0,0.96,0.96,,-5,-2.4,-360,-2,-21666373,-2,0,0,0,0,1,0.1,24,0
6037,1,491110,78,0,2013,A,,206,17687,1085878192,0,0,1181,61394,,0.15,0.98,0.94,0,0,0.96,0.96,,-5,-2.4,-360,-2,-21666373,-2,0,0,0,0,1,0.1,24,0
